13133 	Greene County 	Georgia 	16,321 		
13147 	Hart County 	Georgia 	25,446 		
13155 	Irwin County 	Georgia 	9,427 		
13161 	Jeff Davis County 	Georgia 	15,004 		
13163 	Jefferson County 	Georgia 	16,320 		
13165 	Jenkins County 	Georgia 	9,269 		
13187 	Lumpkin County 	Georgia 	30,918 		
13193 	Macon County 	Georgia 	14,009 		
13201 	Miller County 	Georgia 	5,932 		
13205 	Mitchell County 	Georgia 	23,045 		
13237 	Putnam County 	Georgia 	21,371 		
13239 	Quitman County 	Georgia 	2,367 		
13241 	Rabun County 	Georgia 	16,235 		
13243 	Randolph County 	Georgia 	7,197 		
13251 	Screven County 	Georgia 	14,240 		
13253 	Seminole County 	Georgia 	8,945 		
13259 	Stewart County 	Georgia 	5,868 		
13263 	Talbot County 	Georgia 	6,456 		
13265 	Taliaferro County 	Georgia 	1,703 		
13267 	Tattnall County 	Georgia 	25,526 		
13269 	Taylor County 	Georgia 	8,464 		
13271 	Telfair County 	Georgia 	16,591 		
13281 	Towns County 	Georgia 	10,771 		
13283 	Treutlen County 	Georgia 	6,712 		
13287 	Turner County 	Georgia 	8,134 		
13291 	Union County 	Georgia 	21,566 		
13301 	Warren County 	Georgia 	5,558 		
13303 	Washington County 	Georgia 	20,676 		
13307 	Webster County 	Georgia 	2,719 		
13309 	Wheeler County 	Georgia 	7,909 		
13311 	White County 	Georgia 	27,797 		
13315 	Wilcox County 	Georgia 	8,960 		
13317 	Wilkes County 	Georgia 	10,010 		
13319 	Wilkinson County 	Georgia 	9,432 		
16003 	Adams County 	Idaho 	3,828 		
16007 	Bear Lake County 	Idaho 	5,943 		
16009 	Benewah County 	Idaho 	9,044 		
16021 	Boundary County 	Idaho 	10,853 		
16029 	Caribou County 	Idaho 	6,808 		
16033 	Clark County 	Idaho 	867 		
16035 	Clearwater County 	Idaho 	8,577 		
16037 	Custer County 	Idaho 	4,249 		
16047 	Gooding County 	Idaho 	15,080 		
16049 	Idaho County 	Idaho 	16,116 		
16059 	Lemhi County 	Idaho 	7,712 		
16061 	Lewis County 	Idaho 	3,902 		
16071 	Oneida County 	Idaho 	4,275 		
16077 	Power County 	Idaho 	7,719 		
16079 	Shoshone County 	Idaho 	12,690 		
16085 	Valley County 	Idaho 	9,606 		
16087 	Washington County 	Idaho 	9,944 		
17009 	Brown County 	Illinois 	6,860 		
17015 	Carroll County 	Illinois 	14,910 		
17017 	Cass County 	Illinois 	13,324 		
17023 	Clark County 	Illinois 	16,182 		
17025 	Clay County 	Illinois 	13,566 		
17033 	Crawford County 	Illinois 	19,505 		
17041 	Douglas County 	Illinois 	19,887 		
17045 	Edgar County 	Illinois 	17,960 		
17047 	Edwards County 	Illinois 	6,672 		
17051 	Fayette County 	Illinois 	22,060 		
17055 	Franklin County 	Illinois 	39,202 		
17059 	Gallatin County 	Illinois 	5,415 		
17061 	Greene County 	Illinois 	13,629 		
17065 	Hamilton County 	Illinois 	8,368 		
17069 	Hardin County 	Illinois 	4,181 		
17075 	Iroquois County 	Illinois 	28,982 		
17079 	Jasper County 	Illinois 	9,592 		
17085 	Jo Daviess County 	Illinois 	22,407 		
17087 	Johnson County 	Illinois 	12,677 		
17101 	Lawrence County 	Illinois 	16,558 		
17125 	Mason County 	Illinois 	14,248 		
17135 	Montgomery County 	Illinois 	29,654 		
17139 	Moultrie County 	Illinois 	14,876 		
17145 	Perry County 	Illinois 	21,887 		
17149 	Pike County 	Illinois 	16,150 		
17151 	Pope County 	Illinois 	4,312 		
17153 	Pulaski County 	Illinois 	5,908 		
17157 	Randolph County 	Illinois 	32,890 		
17159 	Richland County 	Illinois 	16,182 		
17165 	Saline County 	Illinois 	24,939 		
17169 	Schuyler County 	Illinois 	7,444 		
17173 	Shelby County 	Illinois 	22,119 		
17181 	Union County 	Illinois 	17,583 		
17185 	Wabash County 	Illinois 	11,665 		
17187 	Warren County 	Illinois 	17,726 		
17189 	Washington County 	Illinois 	14,448 		
17191 	Wayne County 	Illinois 	16,612 		
17193 	White County 	Illinois 	14,549 		
18009 	Blackford County 	Indiana 	12,481 		
18025 	Crawford County 	Indiana 	10,621 		
18045 	Fountain County 	Indiana 	16,880 		
18047 	Franklin County 	Indiana 	22,951 		
18049 	Fulton County 	Indiana 	20,449 		
18051 	Gibson County 	Indiana 	33,612 		
18055 	Greene County 	Indiana 	32,781 		
18075 	Jay County 	Indiana 	21,330 		
18087 	LaGrange County 	Indiana 	37,996 		
18101 	Martin County 	Indiana 	10,160 		
18117 	Orange County 	Indiana 	19,773 		
18121 	Parke County 	Indiana 	17,202 		
18123 	Perry County 	Indiana 	19,558 		
18131 	Pulaski County 	Indiana 	13,007 		
18135 	Randolph County 	Indiana 	25,627 		
18137 	Ripley County 	Indiana 	28,419 		
18139 	Rush County 	Indiana 	17,004 		
18147 	Spencer County 	Indiana 	20,944 		
18149 	Starke County 	Indiana 	23,197 		
18155 	Switzerland County 	Indiana 	10,526 		
18159 	Tipton County 	Indiana 	15,650 		
18171 	Warren County 	Indiana 	8,415 		
18181 	White County 	Indiana 	24,466 		
19001 	Adair County 	Iowa 	7,472 		
19003 	Adams County 	Iowa 	3,894 		
19005 	Allamakee County 	Iowa 	14,169 		
19007 	Appanoose County 	Iowa 	12,692 		
19009 	Audubon County 	Iowa 	5,873 		
19019 	Buchanan County 	Iowa 	20,976 		
19023 	Butler County 	Iowa 	15,021 		
19025 	Calhoun County 	Iowa 	9,926 		
19027 	Carroll County 	Iowa 	20,598 		
19029 	Cass County 	Iowa 	13,598 		
19031 	Cedar County 	Iowa 	18,393 		
19035 	Cherokee County 	Iowa 	11,945 		
19037 	Chickasaw County 	Iowa 	12,321 		
19039 	Clarke County 	Iowa 	9,325 		
19043 	Clayton County 	Iowa 	17,773 		
19047 	Crawford County 	Iowa 	17,434 		
19053 	Decatur County 	Iowa 	8,136 		
19055 	Delaware County 	Iowa 	17,534 		
19063 	Emmet County 	Iowa 	9,996 		
19065 	Fayette County 	Iowa 	20,502 		
19067 	Floyd County 	Iowa 	16,092 		
19069 	Franklin County 	Iowa 	10,548 		
19071 	Fremont County 	Iowa 	7,080 		
19073 	Greene County 	Iowa 	9,139 		
19079 	Hamilton County 	Iowa 	15,312 		
19081 	Hancock County 	Iowa 	11,094 		
19083 	Hardin County 	Iowa 	17,441 		
19087 	Henry County 	Iowa 	20,222 		
19089 	Howard County 	Iowa 	9,526 		
19091 	Humboldt County 	Iowa 	9,688 		
19093 	Ida County 	Iowa 	7,141 		
19095 	Iowa County 	Iowa 	16,330 		
19097 	Jackson County 	Iowa 	19,587 		
19107 	Keokuk County 	Iowa 	10,329 		
19109 	Kossuth County 	Iowa 	15,321 		
19115 	Louisa County 	Iowa 	11,282 		
19117 	Lucas County 	Iowa 	8,746 		
19119 	Lyon County 	Iowa 	11,712 		
19125 	Marion County 	Iowa 	33,252 		
19131 	Mitchell County 	Iowa 	10,709 		
19133 	Monona County 	Iowa 	9,121 		
19135 	Monroe County 	Iowa 	8,012 		
19137 	Montgomery County 	Iowa 	10,424 		
19141 	O'Brien County 	Iowa 	14,044 		
19143 	Osceola County 	Iowa 	6,211 		
19145 	Page County 	Iowa 	15,713 		
19147 	Palo Alto County 	Iowa 	9,185 		
19151 	Pocahontas County 	Iowa 	7,154 		
19157 	Poweshiek County 	Iowa 	18,601 		
19159 	Ringgold County 	Iowa 	5,072 		
19161 	Sac County 	Iowa 	10,071 		
19165 	Shelby County 	Iowa 	11,961 		
19167 	Sioux County 	Iowa 	34,547 		
19171 	Tama County 	Iowa 	17,576 		
19173 	Taylor County 	Iowa 	6,161 		
19175 	Union County 	Iowa 	12,583 		
19177 	Van Buren County 	Iowa 	7,436 		
19185 	Wayne County 	Iowa 	6,402 		
19189 	Winnebago County 	Iowa 	10,554 		
19191 	Winneshiek County 	Iowa 	20,994 		
19197 	Wright County 	Iowa 	12,972 		
20001 	Allen County 	Kansas 	13,124 		
20003 	Anderson County 	Kansas 	7,897 		
20007 	Barber County 	Kansas 	4,947 		
20011 	Bourbon County 	Kansas 	14,852 		
20013 	Brown County 	Kansas 	9,997 		
20017 	Chase County 	Kansas 	2,700 		
20019 	Chautauqua County 	Kansas 	3,552 		
20021 	Cherokee County 	Kansas 	20,978 		
20023 	Cheyenne County 	Kansas 	2,694 		
20025 	Clark County 	Kansas 	2,193 		
20027 	Clay County 	Kansas 	8,406 		
20029 	Cloud County 	Kansas 	9,292 		
20031 	Coffey County 	Kansas 	8,412 		
20033 	Comanche County 	Kansas 	1,955 		
20039 	Decatur County 	Kansas 	2,930 		
20041 	Dickinson County 	Kansas 	19,609 		
20047 	Edwards County 	Kansas 	2,945 		
20049 	Elk County 	Kansas 	2,655 		
20053 	Ellsworth County 	Kansas 	6,398 		
20063 	Gove County 	Kansas 	2,769 		
20065 	Graham County 	Kansas 	2,593 		
20067 	Grant County 	Kansas 	7,950 		
20069 	Gray County 	Kansas 	6,009 		
20071 	Greeley County 	Kansas 	1,290 		
20073 	Greenwood County 	Kansas 	6,424 		
20075 	Hamilton County 	Kansas 	2,609 		
20077 	Harper County 	Kansas 	5,860 		
20081 	Haskell County 	Kansas 	4,141 		
20083 	Hodgeman County 	Kansas 	1,950 		
20089 	Jewell County 	Kansas 	3,046 		
20097 	Kiowa County 	Kansas 	2,523 		
20101 	Lane County 	Kansas 	1,720 		
20105 	Lincoln County 	Kansas 	3,147 		
20109 	Logan County 	Kansas 	2,798 		
20115 	Marion County 	Kansas 	12,219 		
20117 	Marshall County 	Kansas 	10,002 		
20119 	Meade County 	Kansas 	4,343 		
20123 	Mitchell County 	Kansas 	6,378 		
20127 	Morris County 	Kansas 	5,741 		
20129 	Morton County 	Kansas 	3,143 		
20131 	Nemaha County 	Kansas 	10,161 		
20133 	Neosho County 	Kansas 	16,430 		
20135 	Ness County 	Kansas 	3,073 		
20137 	Norton County 	Kansas 	5,622 		
20141 	Osborne County 	Kansas 	3,818 		
20145 	Pawnee County 	Kansas 	6,971 		
20147 	Phillips County 	Kansas 	5,540 		
20151 	Pratt County 	Kansas 	9,878 		
20153 	Rawlins County 	Kansas 	2,589 		
20157 	Republic County 	Kansas 	4,820 		
20159 	Rice County 	Kansas 	10,011 		
20163 	Rooks County 	Kansas 	5,190 		
20165 	Rush County 	Kansas 	3,186 		
20167 	Russell County 	Kansas 	6,933 		
20171 	Scott County 	Kansas 	5,035 		
20179 	Sheridan County 	Kansas 	2,553 		
20181 	Sherman County 	Kansas 	6,115 		
20183 	Smith County 	Kansas 	3,706 		
20185 	Stafford County 	Kansas 	4,359 		
20187 	Stanton County 	Kansas 	2,194 		
20189 	Stevens County 	Kansas 	5,816 		
20193 	Thomas County 	Kansas 	7,948 		
20195 	Trego County 	Kansas 	2,980 		
20199 	Wallace County 	Kansas 	1,569 		
20201 	Washington County 	Kansas 	5,629 		
20203 	Wichita County 	Kansas 	2,192 		
20205 	Wilson County 	Kansas 	9,105 		
20207 	Woodson County 	Kansas 	3,221 		
21001 	Adair County 	Kentucky 	18,732 		
21025 	Breathitt County 	Kentucky 	13,545 		
21027 	Breckinridge County 	Kentucky 	20,040 		
21033 	Caldwell County 	Kentucky 	12,823 		
21039 	Carlisle County 	Kentucky 	5,001 		
21041 	Carroll County 	Kentucky 	10,953 		
21043 	Carter County 	Kentucky 	27,202 		
21045 	Casey County 	Kentucky 	16,067 		
21051 	Clay County 	Kentucky 	21,364 		
21053 	Clinton County 	Kentucky 	10,146 		
21055 	Crittenden County 	Kentucky 	9,255 		
21057 	Cumberland County 	Kentucky 	6,789 		
21063 	Elliott County 	Kentucky 	7,637 		
21065 	Estill County 	Kentucky 	14,488 		
21069 	Fleming County 	Kentucky 	14,508 		
21071 	Floyd County 	Kentucky 	38,728 		
21079 	Garrard County 	Kentucky 	16,915 		
21085 	Grayson County 	Kentucky 	25,997 		
21087 	Green County 	Kentucky 	11,180 		
21095 	Harlan County 	Kentucky 	28,499 		
21097 	Harrison County 	Kentucky 	18,518 		
21099 	Hart County 	Kentucky 	18,573 		
21105 	Hickman County 	Kentucky 	4,745 		
21109 	Jackson County 	Kentucky 	13,427 		
21115 	Johnson County 	Kentucky 	23,449 		
21119 	Knott County 	Kentucky 	15,976 		
21127 	Lawrence County 	Kentucky 	15,856 		
21129 	Lee County 	Kentucky 	7,260 		
21131 	Leslie County 	Kentucky 	11,019 		
21133 	Letcher County 	Kentucky 	23,619 		
21135 	Lewis County 	Kentucky 	13,806 		
21141 	Logan County 	Kentucky 	26,876 		
21143 	Lyon County 	Kentucky 	8,451 		
21147 	McCreary County 	Kentucky 	17,989 		
21153 	Magoffin County 	Kentucky 	12,950 		
21155 	Marion County 	Kentucky 	20,045 		
21157 	Marshall County 	Kentucky 	31,107 		
21159 	Martin County 	Kentucky 	12,647 		
21167 	Mercer County 	Kentucky 	21,349 		
21171 	Monroe County 	Kentucky 	10,681 		
21175 	Morgan County 	Kentucky 	13,380 		
21177 	Muhlenberg County 	Kentucky 	31,179 		
21181 	Nicholas County 	Kentucky 	7,039 		
21183 	Ohio County 	Kentucky 	23,988 		
21187 	Owen County 	Kentucky 	10,662 		
21189 	Owsley County 	Kentucky 	4,654 		
21193 	Perry County 	Kentucky 	28,010 		
21195 	Pike County 	Kentucky 	63,380 		
21197 	Powell County 	Kentucky 	12,494 		
21201 	Robertson County 	Kentucky 	2,235 		
21205 	Rowan County 	Kentucky 	23,527 		
21207 	Russell County 	Kentucky 	17,752 		
